ticker,name,market_cap,sector,industry,is_profitable,net_income,net_margin,profitability_reason,current_price,pe_ratio,revenue,revenue_growth,timestamp
AWR,American States Water Company,2914556672,Utilities,Utilities - Regulated Water,True,119268000.0,20.029590618329728,"Net Income: $119,268,000",75.685,23.216257,615958976.0,0.05,2025-10-17T09:30:03.435996
AVNT,Avient Corporation,2870712320,Basic Materials,Specialty Chemicals,True,169500000.0,5.230835699296383,"Net Income: $169,500,000",31.36,24.31008,3254799872.0,0.02,2025-10-17T09:30:03.256310
ARX,Accelerant Holdings,2793829376,Financial Services,Insurance Brokers,True,27200000.0,4.652435686918445,"Net Income: $27,200,000",12.7,63.5,690000000.0,0.696,2025-10-17T09:30:00.932985
BFH,"Bread Financial Holdings, Inc.",2764030464,Financial Services,Credit Services,True,277000000.0,7.217300677436164,"Net Income: $277,000,000",59.26,9.959664,2452000000.0,0.009,2025-10-17T09:30:06.127137
AKR,Acadia Realty Trust,2752745472,Real Estate,REIT - Retail,True,21650000.0,6.019088712749069,"Net Income: $21,650,000",19.4585,114.46176,391852000.0,0.049,2025-10-17T09:29:56.424276
ABM,ABM Industries Incorporated,2747870976,Industrials,Specialty Business Services,True,81400000.0,0.9737540971840084,"Net Income: $81,400,000",44.875,24.256756,8627900416.0,0.062,2025-10-17T09:29:52.959265
APLE,"Apple Hospitality REIT, Inc.",2736047616,Real Estate,REIT - Hotel & Motel,True,214064000.0,14.954158947318415,"Net Income: $214,064,000",11.545,15.19079,1423950976.0,-0.015,2025-10-17T09:29:59.691883
AMSC,American Superconductor Corporation,2715074816,Industrials,Specialty Industrial Machinery,True,6033000.0,2.707590948666625,"Net Income: $6,033,000",60.12,150.29999,254886000.0,0.796,2025-10-17T09:29:58.315674
BCC,Boise Cascade Company,2628931584,Basic Materials,Lumber & Wood Production,True,376354000.0,5.596929581008802,"Net Income: $376,354,000",70.41,10.324047,6557812224.0,-0.032,2025-10-17T09:30:05.237922
ACLS,"Axcelis Technologies, Inc.",2605565952,Technology,Semiconductor Equipment & Materials,True,200992000.0,19.746430027557683,"Net Income: $200,992,000",82.93,16.92449,896089024.0,-0.242,2025-10-17T09:29:53.416935
AEO,"American Eagle Outfitters, Inc.",2534155776,Consumer Cyclical,Apparel Retail,True,329380000.0,6.1813006366338055,"Net Income: $329,380,000",14.965,14.671569,5267001856.0,-0.006,2025-10-17T09:29:54.818492
ALRM,"Alarm.com Holdings, Inc.",2513217536,Technology,Software - Application,True,124116000.0,13.206260301097968,"Net Income: $124,116,000",50.36,21.159662,975867008.0,0.088,2025-10-17T09:29:57.236840
AGIO,"Agios Pharmaceuticals, Inc.",2503013632,Healthcare,Biotechnology,True,673725000.0,1845.9230642774949,"Net Income: $673,725,000",43.08,3.8157663,40875000.0,0.446,2025-10-17T09:29:55.321837
BANC,"Banc of California, Inc.",2496680448,Financial Services,Banks - Regional,True,126888000.0,12.870414417850284,"Net Income: $126,888,000",15.845,24.376925,949659008.0,-0.059,2025-10-17T09:30:04.341304
ABR,"Arbor Realty Trust, Inc.",2446456064,Real Estate,REIT - Mortgage,True,264641000.0,42.279242606272845,"Net Income: $264,641,000",11.735,13.038889,600587008.0,-0.093,2025-10-17T09:29:52.973830
ACMR,"ACM Research, Inc.",2425398784,Technology,Semiconductor Equipment & Materials,True,103627000.0,13.249535236370983,"Net Income: $103,627,000",37.79,22.76506,815166016.0,0.064,2025-10-17T09:29:53.463236
ACHC,"Acadia Healthcare Company, Inc.",2260644608,Healthcare,Medical Care Facilities,True,255612000.0,8.104470470959868,"Net Income: $255,612,000",24.48,16.105263,3229608960.0,0.092,2025-10-17T09:29:53.399782
ASH,Ashland Inc.,2226337280,Basic Materials,Specialty Chemicals,True,169000000.0,7.99810695693327,"Net Income: $169,000,000",48.71,,1868999936.0,-0.149,2025-10-17T09:30:01.165989
ATKR,Atkore Inc.,2212528640,Industrials,Electrical Equipment & Parts,True,472872000.0,14.767775548999346,"Net Income: $472,872,000",65.74,20.41615,2886663936.0,-0.106,2025-10-17T09:30:02.079314
ALG,Alamo Group Inc.,2191226880,Industrials,Farm & Heavy Construction Machinery,True,115930000.0,7.1187641732058635,"Net Income: $115,930,000",180.93,18.424643,1596647040.0,0.007,2025-10-17T09:29:56.798899
ADUS,Addus HomeCare Corporation,2176803328,Healthcare,Medical Care Facilities,True,73598000.0,6.374334292685166,"Net Income: $73,598,000",118.258,26.105518,1274082048.0,0.218,2025-10-17T09:29:54.344339
AMRC,"Ameresco, Inc.",2154525696,Industrials,Engineering & Construction,True,56757000.0,3.2067406131774856,"Net Income: $56,757,000",40.88,34.940174,1858653056.0,0.078,2025-10-17T09:29:58.264629
BANR,Banner Corporation,2137372160,Financial Services,Banks - Regional,True,168898000.0,28.01226649948668,"Net Income: $168,898,000",62.25,11.3387985,640027008.0,0.105,2025-10-17T09:30:04.407649
ARDT,"Ardent Health, Inc.",2075043456,Healthcare,Medical Care Facilities,True,210343000.0,3.5256530595004554,"Net Income: $210,343,000",14.5,7.631579,6198620160.0,0.119,2025-10-17T09:30:00.462046
ARMN,Aris Mining Corporation,2044094208,Basic Materials,Gold,True,24582000.0,4.814298360373205,"Net Income: $24,582,000",10.09,336.33334,646782976.0,0.736,2025-10-17T09:30:00.721389
AMR,"Alpha Metallurgical Resources, Inc.",2022428672,Basic Materials,Coking Coal,True,187579000.0,6.3429463173146985,"Net Income: $187,579,000",154.93,,2371474944.0,-0.316,2025-10-17T09:29:58.218518
ASGN,ASGN Incorporated,2019179904,Technology,Information Technology Services,True,175200000.0,4.273483425616509,"Net Income: $175,200,000",46.1,14.681528,4004900096.0,-0.014,2025-10-17T09:30:01.177219
BBT,Beacon Financial Corporation,1982925824,Financial Services,Banks - Regional,True,68715000.0,19.325906530280488,"Net Income: $68,715,000",23.53,11.258374,345392992.0,0.084,2025-10-17T09:30:04.977002
ADNT,Adient plc,1865406464,Consumer Cyclical,Auto Parts,True,18000000.0,0.12254901960784313,"Net Income: $18,000,000",22.96,,14408999936.0,0.007,2025-10-17T09:29:54.224764
BELFB,Bel Fuse Inc.,1811629824,Technology,Electronic Components,True,40960000.0,7.659052491435923,"Net Income: $40,960,000",146.955,37.48852,594033984.0,0.263,2025-10-17T09:30:05.838438
BELFA,Bel Fuse Inc.,1811182336,Technology,Electronic Components,True,40960000.0,7.659052491435923,"Net Income: $40,960,000",123.6,31.530611,594033984.0,0.263,2025-10-17T09:30:05.903869
ADEA,Adeia Inc.,1804581888,Technology,Software - Application,True,64623000.0,17.185871114609704,"Net Income: $64,623,000",16.5,22.297297,378673984.0,-0.018,2025-10-17T09:29:54.179089
AESI,Atlas Energy Solutions Inc.,1711431040,Energy,Oil & Gas Equipment & Services,True,59944000.0,5.676746306904542,"Net Income: $59,944,000",10.31,85.91667,1162039040.0,0.004,2025-10-17T09:29:54.960162
ARCB,ArcBest Corporation,1669062016,Industrials,Trucking,True,173961000.0,4.16272335684523,"Net Income: $173,961,000",73.44,10.961195,4054102016.0,-0.052,2025-10-17T09:30:00.220473
AIN,Albany International Corp.,1667744640,Consumer Cyclical,Textile Manufacturing,True,87623000.0,7.120261007707529,"Net Income: $87,623,000",56.595,28.156717,1185464064.0,-0.062,2025-10-17T09:29:55.932842
AGM,Federal Agricultural Mortgage Corporation,1663267840,Financial Services,Credit Services,True,207193000.0,55.22569467581795,"Net Income: $207,193,000",157.245,9.266058,368431008.0,0.131,2025-10-17T09:29:55.405796
AAMI,Acadian Asset Management Inc.,1643587712,Financial Services,Asset Management,True,85000000.0,16.811708860759495,"Net Income: $85,000,000",45.895,19.283613,538200000.0,0.169,2025-10-17T09:29:52.533550
ANDE,"The Andersons, Inc.",1625338752,Consumer Defensive,Food Distribution,True,114012000.0,1.0127605052183655,"Net Income: $114,012,000",47.51,20.217022,11539093504.0,0.122,2025-10-17T09:29:58.685027
AUPH,Aurinia Pharmaceuticals Inc.,1532167936,Healthcare,Biotechnology,True,5752000.0,2.4462750868657315,"Net Income: $5,752,000",11.64,27.069767,260111008.0,0.224,2025-10-17T09:30:02.871106
AAT,"American Assets Trust, Inc.",1510102656,Real Estate,REIT - Diversified,True,72818000.0,15.904196534266383,"Net Income: $72,818,000",19.527,16.138016,448315008.0,-0.027,2025-10-17T09:29:52.484350
ARCO,Arcos Dorados Holdings Inc.,1482014592,Consumer Cyclical,Restaurants,True,148759000.0,3.327821228850319,"Net Income: $148,759,000",7.035,11.346774,4496793088.0,0.028,2025-10-17T09:30:00.231704
ARHS,"Arhaus, Inc.",1478825728,Consumer Cyclical,Specialty Retail,True,68550000.0,5.392937022610999,"Net Income: $68,550,000",10.49,20.98,1335950976.0,0.157,2025-10-17T09:30:00.475820
